,latitude,longitude,acq_date,acq_time,class,NDVI,EVI
372,36.2081,28.0284,2023-08-02,1919,not fire,0.7796,0.4523
373,40.919,25.9203,2023-08-01,1926,not fire,0.8841,0.5829
374,41.0807,26.1933,2023-08-22,43,fire,0.5648,0.3358
375,38.1299,23.4574,2023-07-09,1058,not fire,0.6571,0.4524
376,40.3422,23.3874,2023-08-02,1148,not fire,0.5598,0.3597
377,37.9368,24.8101,2023-08-27,56,fire,0.6858,0.4291
378,38.098,23.5064,2023-08-07,1154,not fire,0.6518,0.3669
379,38.1006,23.4589,2023-07-08,1154,not fire,0.7629,0.639
380,38.11,23.5979,2023-08-22,2006,fire,0.5312,0.3032
381,38.1262,23.5139,2023-07-28,51,not fire,0.794,0.611
382,41.11,26.1685,2023-08-21,1106,fire,0.8127,0.4551
383,40.9112,25.7175,2023-08-02,2007,not fire,0.437,0.1789
384,37.7602,23.9623,2023-07-07,2009,not fire,0.5784,0.417
385,36.0677,27.9165,2023-07-14,1959,not fire,0.8957,0.5978
386,39.3522,22.7633,2023-08-16,35,not fire,0.8234,0.6199
387,37.9366,23.03,2023-07-18,2049,fire,0.5828,0.3307
388,36.254,27.9205,2023-07-09,850,not fire,0.7996,0.6254
389,40.9992,26.0249,2023-08-11,1926,not fire,0.785,0.4222
390,38.0997,23.6444,2023-08-13,944,not fire,0.3389,0.17
391,38.0933,23.4723,2023-07-28,1154,not fire,0.4651,0.2861
392,41.0193,26.174,2023-08-12,2347,not fire,0.7645,0.4933
